"","X","age","voted","party","registered","method_vote"
"955",955,48,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"956",956,75,"yes","Republican","Yes","Voted by mail or absentee"
"957",957,53,"yes","Independent","Yes","In person on election day"
"958",958,40,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"959",959,63,"yes","Republican","Yes","In person on election day"
"960",960,50,"yes","Independent","Yes","Voted by mail or absentee"
"961",961,38,"yes","Independent","Yes","In person on election day"
"962",962,53,"yes","Democrat","Yes","Voted by mail or absentee"
"963",963,58,"yes","Democrat","Yes","In person early"
"964",964,82,"yes","Republican","Yes","In person on election day"
"965",965,47,"yes","Independent","Yes","In person on election day"
"966",966,84,"yes","Republican","Yes","Voted by mail or absentee"
"967",967,77,"yes","Independent","Yes","In person on election day"
"968",968,55,"yes","Republican","Yes","In person on election day"
"969",969,75,"yes","Republican","Yes","In person on election day"
"970",970,59,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"971",971,37,"yes","Democrat","Yes","In person on election day"
"972",972,36,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"973",973,32,"yes","Democrat","Yes","In person on election day"
"974",974,70,"yes","Republican","Yes","In person on election day"
"975",975,49,"yes","Democrat","Yes","Voted by mail or absentee"
"976",976,64,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"977",977,37,"yes","Democrat","Yes","In person on election day"
"978",978,54,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"979",979,69,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"980",980,49,"yes","Democrat","Yes","In person early"
"981",981,61,"yes","Independent","Yes","In person early"
"982",982,74,"yes","Independent","Yes","Voted by mail or absentee"
"983",983,42,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"984",984,57,"yes","Republican","Yes","In person on election day"
"985",985,83,"yes","Democrat","Yes","Voted by mail or absentee"
"986",986,81,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"987",987,52,"yes","Democrat","Yes","Voted by mail or absentee"
"988",988,70,"yes","Independent","Yes","In person on election day"
"989",989,62,"yes","Republican","Yes","In person on election day"
"990",990,79,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"991",991,75,"yes","Independent","Yes","In person on election day"
"992",992,24,"yes","Independent","Yes","Voted by mail or absentee"
"993",993,55,"yes","Independent","Yes","In person on election day"
"994",994,61,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"995",995,56,"yes","Republican","Yes","In person on election day"
"996",996,60,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"997",997,51,"yes","Republican","Yes","Voted by mail or absentee"
"998",998,74,"yes","Democrat","Yes","In person early"
"999",999,33,"yes","Democrat","Yes","In person early"
"1000",1000,28,"yes","Democrat","Yes","Voted by mail or absentee"
"1001",1001,73,"yes","Independent","Yes","Voted by mail or absentee"
"1002",1002,62,"yes","Democrat","Yes","In person early"
"1003",1003,44,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1004",1004,28,"yes","Republican","Yes","Voted by mail or absentee"
"1005",1005,38,"yes","Democrat","Yes","In person on election day"
"1006",1006,69,"yes","Democrat","Yes","Voted by mail or absentee"
"1007",1007,56,"yes","Independent","Yes","In person on election day"
"1008",1008,30,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1009",1009,77,"yes","Republican","Yes","Voted by mail or absentee"
"1010",1010,71,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1011",1011,80,"yes","Democrat","Yes","In person on election day"
"1012",1012,71,"yes","Democrat","Yes","In person on election day"
"1013",1013,52,"yes","Independent","Yes","In person on election day"
"1014",1014,65,"yes","Republican","Yes","In person on election day"
"1015",1015,78,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1016",1016,74,"yes","Democrat","Yes","In person on election day"
"1017",1017,27,"yes","Independent","Yes","In person on election day"
"1018",1018,29,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1019",1019,57,"no","Independent","Yes","Dontknow_skipped_notasked"
"1020",1020,69,"yes","Republican","Yes","In person on election day"
"1021",1021,62,"yes","Republican","Yes","In person on election day"
"1022",1022,50,"yes","Republican","Yes","In person on election day"
"1023",1023,66,"yes","Democrat","Yes","In person on election day"
"1024",1024,69,"yes","Democrat","Yes","In person on election day"
"1025",1025,77,"yes","Independent","Yes","In person on election day"
"1026",1026,47,"yes","Independent","Yes","In person on election day"
"1027",1027,34,"yes","Democrat","Yes","Voted by mail or absentee"
"1028",1028,28,"no","Independent","Yes","Dontknow_skipped_notasked"
"1029",1029,73,"yes","Republican","Yes","In person on election day"
"1030",1030,56,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1031",1031,52,"yes","Republican","Yes","In person on election day"
"1032",1032,62,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1033",1033,60,"yes","Independent","Yes","In person on election day"
"1034",1034,51,"yes","Democrat","Yes","Voted by mail or absentee"
"1035",1035,67,"yes","Republican","Yes","In person on election day"
"1036",1036,63,"yes","Independent","Yes","In person on election day"
"1037",1037,58,"yes","Democrat","Yes","In person early"
"1038",1038,54,"yes","Democrat","Yes","In person early"
"1039",1039,61,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1040",1040,61,"yes","Independent","Yes","In person on election day"
"1041",1041,68,"yes","Republican","Yes","In person on election day"
"1042",1042,43,"yes","Democrat","Yes","In person on election day"
"1043",1043,57,"yes","Democrat","Yes","In person on election day"
"1044",1044,57,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1045",1045,61,"yes","Independent","Yes","Voted by mail or absentee"
"1046",1046,50,"yes","Democrat","Yes","In person on election day"
"1047",1047,64,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1048",1048,39,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1049",1049,58,"yes","Democrat","Yes","In person on election day"
"1050",1050,56,"yes","Democrat","Yes","Voted by mail or absentee"
"1051",1051,60,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1052",1052,75,"yes","Democrat","Yes","In person on election day"
"1053",1053,53,"yes","Other","Yes","In person on election day"
"1054",1054,75,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1055",1055,49,"yes","Independent","Yes","In person on election day"
"1056",1056,27,"yes","Democrat","Yes","In person early"
"1057",1057,56,"yes","Republican","Yes","In person on election day"
"1058",1058,71,"yes","Democrat","Yes","In person on election day"
"1059",1059,24,"yes","Other","Yes","Voted by mail or absentee"
"1060",1060,73,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1061",1061,80,"yes","Democrat","Yes","Voted by mail or absentee"
"1062",1062,58,"no","Independent","Yes","Voted by mail or absentee"
"1063",1063,31,"yes","Republican","Yes","In person on election day"
"1064",1064,69,"yes","Republican","Yes","In person on election day"
"1065",1065,30,"yes","Democrat","Yes","In person on election day"
"1066",1066,68,"yes","Democrat","Yes","Voted by mail or absentee"
"1067",1067,58,"yes","Democrat","Yes","Voted by mail or absentee"
"1068",1068,82,"yes","Republican","Yes","In person on election day"
"1069",1069,46,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1070",1070,55,"yes","Republican","Yes","Voted by mail or absentee"
"1071",1071,72,"yes","Republican","Yes","In person on election day"
"1072",1072,52,"yes","Republican","Yes","In person early"
"1073",1073,55,"yes","Republican","Yes","In person on election day"
"1074",1074,72,"yes","Republican","Yes","Voted by mail or absentee"
"1075",1075,33,"no","Independent","Yes","Dontknow_skipped_notasked"
"1076",1076,52,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1077",1077,54,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1078",1078,50,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1079",1079,53,"yes","Republican","Yes","In person on election day"
"1080",1080,71,"yes","Democrat","Yes","In person on election day"
"1081",1081,70,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1082",1082,31,"yes","Independent","Yes","In person on election day"
"1083",1083,28,"yes","Independent","Yes","Voted by mail or absentee"
"1084",1084,40,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1085",1085,69,"yes","Democrat","Yes","Voted by mail or absentee"
"1086",1086,69,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1087",1087,67,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1088",1088,42,"yes","Democrat","Yes","In person on election day"
"1089",1089,66,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1090",1090,65,"yes","Democrat","Yes","In person early"
"1091",1091,69,"yes","Republican","Yes","In person on election day"
"1092",1092,67,"yes","Democrat","Yes","In person on election day"
"1093",1093,66,"yes","Independent","Yes","In person on election day"
"1094",1094,64,"yes","Democrat","Yes","In person on election day"
"1095",1095,65,"yes","Republican","Yes","Voted by mail or absentee"
"1096",1096,34,"yes","Republican","Yes","Voted by mail or absentee"
"1097",1097,76,"yes","Democrat","Yes","Voted by mail or absentee"
"1098",1098,62,"yes","Democrat","Yes","In person early"
"1099",1099,32,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1100",1100,56,"yes","Republican","Yes","In person on election day"
"1101",1101,48,"yes","Independent","Yes","Voted by mail or absentee"
"1102",1102,47,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1103",1103,68,"no","Independent","Yes","Dontknow_skipped_notasked"
"1104",1104,53,"yes","Democrat","Yes","In person early"
"1105",1105,56,"yes","Democrat","Yes","In person early"
"1106",1106,75,"yes","Republican","Yes","In person on election day"
"1107",1107,64,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1108",1108,87,"yes","Republican","Yes","Voted by mail or absentee"
"1109",1109,63,"yes","Republican","Yes","In person on election day"
"1110",1110,37,"no","Democrat","Yes","In person on election day"
"1111",1111,30,"yes","Republican","Yes","In person on election day"
"1112",1112,23,"yes","Republican","Yes","Voted by mail or absentee"
"1113",1113,73,"no","Republican","Yes","Dontknow_skipped_notasked"
"1114",1114,32,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1115",1115,70,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1116",1116,25,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1117",1117,65,"yes","Democrat","Yes","In person on election day"
"1118",1118,47,"yes","Independent","Yes","In person on election day"
"1119",1119,68,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1120",1120,76,"yes","Independent","Yes","In person early"
"1121",1121,59,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1122",1122,68,"yes","Democrat","Yes","In person on election day"
"1123",1123,58,"yes","Independent","Yes","In person on election day"
"1124",1124,28,"no","Independent","Yes","Dontknow_skipped_notasked"
"1125",1125,61,"yes","Democrat","Yes","Voted by mail or absentee"
"1126",1126,56,"yes","NAorMissing","Yes","Voted by mail or absentee"
"1127",1127,65,"yes","Democrat","Yes","In person on election day"
"1128",1128,34,"yes","Democrat","Yes","In person on election day"
"1129",1129,68,"yes","NAorMissing","Yes","In person on election day"
"1130",1130,69,"yes","Democrat","Yes","Voted by mail or absentee"
"1131",1131,33,"yes","Independent","Yes","In person on election day"
"1132",1132,58,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1133",1133,46,"yes","Republican","Yes","In person on election day"
"1134",1134,66,"yes","Democrat","Yes","Voted by mail or absentee"
"1135",1135,69,"yes","Democrat","Yes","In person early"
"1136",1136,68,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1137",1137,77,"yes","Democrat","Yes","Voted by mail or absentee"
"1138",1138,58,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1139",1139,47,"yes","Democrat","Yes","In person early"
"1140",1140,38,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1141",1141,57,"yes","Independent","Yes","Voted by mail or absentee"
"1142",1142,77,"yes","Republican","Yes","In person on election day"
"1143",1143,69,"yes","Republican","Yes","Voted by mail or absentee"
"1144",1144,38,"yes","Democrat","Yes","In person on election day"
"1145",1145,77,"yes","Democrat","Yes","In person on election day"
"1146",1146,52,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1147",1147,62,"yes","Democrat","Yes","In person on election day"
"1148",1148,40,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1149",1149,61,"yes","Democrat","Yes","In person on election day"
"1150",1150,61,"yes","Republican","Yes","Voted by mail or absentee"
"1151",1151,54,"no","Independent","Yes","Dontknow_skipped_notasked"
"1152",1152,41,"yes","Independent","Yes","Voted by mail or absentee"
"1153",1153,76,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1154",1154,63,"yes","Republican","Yes","Voted by mail or absentee"
"1155",1155,59,"yes","Independent","Yes","In person on election day"
"1156",1156,50,"yes","Republican","Yes","In person on election day"
"1157",1157,36,"no","NAorMissing","No","Dontknow_skipped_notasked"
"1158",1158,25,"yes","Democrat","Yes","In person early"
"1159",1159,62,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1160",1160,85,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1161",1161,67,"yes","Democrat","Yes","In person on election day"
"1162",1162,38,"yes","Republican","Yes","In person on election day"
"1163",1163,55,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1164",1164,61,"yes","Republican","Yes","In person on election day"
"1165",1165,41,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1166",1166,49,"yes","Democrat","Yes","In person on election day"
"1167",1167,36,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1168",1168,61,"yes","Republican","Yes","In person on election day"
"1169",1169,26,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1170",1170,62,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1171",1171,57,"yes","Independent","Yes","In person on election day"
"1172",1172,26,"yes","Republican","Yes","In person on election day"
"1173",1173,66,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1174",1174,37,"yes","Independent","Yes","In person on election day"
"1175",1175,65,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1176",1176,54,"yes","Independent","Yes","In person on election day"
"1177",1177,44,"yes","Republican","Yes","In person on election day"
"1178",1178,68,"yes","Republican","Yes","In person on election day"
"1179",1179,54,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1180",1180,57,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1181",1181,53,"yes","Independent","Yes","Voted by mail or absentee"
"1182",1182,62,"yes","Republican","Yes","In person on election day"
"1183",1183,58,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1184",1184,77,"yes","Independent","Yes","In person on election day"
"1185",1185,57,"yes","Democrat","Yes","In person on election day"
"1186",1186,59,"yes","Republican","Yes","In person on election day"
"1187",1187,41,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1188",1188,35,"yes","Independent","Yes","In person on election day"
"1189",1189,57,"yes","Republican","Yes","In person on election day"
"1190",1190,42,"yes","Independent","Yes","In person on election day"
"1191",1191,64,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1192",1192,52,"yes","Democrat","Yes","In person on election day"
"1193",1193,72,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1194",1194,58,"yes","Republican","Yes","In person on election day"
"1195",1195,68,"yes","Democrat","Yes","Voted by mail or absentee"
"1196",1196,66,"yes","Republican","Yes","In person on election day"
"1197",1197,32,"yes","Democrat","Yes","Voted by mail or absentee"
"1198",1198,67,"yes","Independent","Yes","In person on election day"
"1199",1199,81,"yes","Republican","Yes","Voted by mail or absentee"
"1200",1200,56,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1201",1201,28,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1202",1202,62,"yes","Democrat","Yes","In person on election day"
"1203",1203,31,"yes","Democrat","Yes","In person on election day"
"1204",1204,45,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1205",1205,71,"yes","Democrat","Yes","Voted by mail or absentee"
"1206",1206,27,"yes","NAorMissing","No","Voted by mail or absentee"
"1207",1207,59,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1208",1208,59,"yes","Democrat","Yes","Voted by mail or absentee"
"1209",1209,58,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1210",1210,41,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1211",1211,47,"yes","Democrat","Yes","In person on election day"
"1212",1212,68,"yes","Republican","Yes","Voted by mail or absentee"
"1213",1213,25,"yes","Independent","Yes","In person on election day"
"1214",1214,48,"yes","Democrat","Yes","In person on election day"
"1215",1215,37,"yes","Democrat","Yes","In person on election day"
"1216",1216,69,"yes","Republican","Yes","In person on election day"
"1217",1217,38,"yes","Independent","Yes","Voted by mail or absentee"
"1218",1218,51,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1219",1219,33,"yes","Democrat","Yes","In person early"
"1220",1220,32,"yes","Democrat","Yes","Voted by mail or absentee"
"1221",1221,66,"yes","Democrat","Yes","In person on election day"
"1222",1222,78,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1223",1223,76,"yes","Democrat","Yes","In person on election day"
"1224",1224,69,"yes","Democrat","Yes","In person on election day"
"1225",1225,65,"yes","Independent","Yes","In person on election day"
"1226",1226,36,"yes","Independent","Yes","In person early"
"1227",1227,62,"yes","Democrat","Yes","Dontknow_skipped_notasked"
"1228",1228,60,"yes","Democrat","Yes","Voted by mail or absentee"
"1229",1229,57,"yes","Democrat","Yes","In person early"
"1230",1230,78,"yes","Democrat","Yes","In person on election day"
"1231",1231,67,"yes","Independent","Yes","Voted by mail or absentee"
"1232",1232,30,"no","Republican","Yes","Dontknow_skipped_notasked"
"1233",1233,30,"yes","Democrat","Yes","Voted by mail or absentee"
"1234",1234,62,"no","Democrat","Yes","Dontknow_skipped_notasked"
"1235",1235,80,"yes","Independent","Yes","Voted by mail or absentee"
"1236",1236,74,"yes","Democrat","Yes","In person on election day"
"1237",1237,71,"yes","Independent","Yes","Voted by mail or absentee"
"1238",1238,59,"yes","Republican","Yes","Voted by mail or absentee"
"1239",1239,27,"no","Independent","Yes","Dontknow_skipped_notasked"
"1240",1240,33,"yes","NAorMissing","No","In person on election day"
"1241",1241,32,"yes","Democrat","Yes","In person on election day"
"1242",1242,31,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1243",1243,55,"no","Republican","Yes","Dontknow_skipped_notasked"
"1244",1244,75,"yes","Republican","Yes","Voted by mail or absentee"
"1245",1245,56,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1246",1246,55,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1247",1247,27,"yes","Democrat","Yes","In person on election day"
"1248",1248,25,"yes","Republican","Yes","Voted by mail or absentee"
"1249",1249,66,"yes","Democrat","Yes","Voted by mail or absentee"
"1250",1250,25,"no","NAorMissing","No","Dontknow_skipped_notasked"
"1251",1251,55,"yes","Republican","Yes","In person on election day"
"1252",1252,30,"no","Independent","Yes","Dontknow_skipped_notasked"
"1253",1253,32,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1254",1254,78,"yes","Republican","Yes","In person on election day"
"1255",1255,34,"yes","Democrat","Yes","In person on election day"
"1256",1256,25,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1257",1257,40,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1258",1258,68,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1259",1259,64,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1260",1260,35,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1261",1261,32,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1262",1262,37,"yes","Republican","Yes","In person on election day"
"1263",1263,35,"NAorMissing","Other","Yes","Dontknow_skipped_notasked"
"1264",1264,54,"yes","Democrat","Yes","In person on election day"
"1265",1265,69,"yes","Republican","Yes","In person on election day"
"1266",1266,63,"yes","Independent","Yes","Voted by mail or absentee"
"1267",1267,71,"no","Independent","Yes","Dontknow_skipped_notasked"
"1268",1268,75,"yes","Democrat","Yes","In person on election day"
"1269",1269,59,"no","NAorMissing","No","Voted by mail or absentee"
"1270",1270,65,"no","Democrat","Yes","Dontknow_skipped_notasked"
"1271",1271,74,"yes","Republican","Yes","Voted by mail or absentee"
"1272",1272,70,"no","Independent","Yes","Dontknow_skipped_notasked"
"1273",1273,52,"yes","Independent","Yes","In person on election day"
"1274",1274,44,"yes","Democrat","Yes","Voted by mail or absentee"
"1275",1275,36,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1276",1276,73,"yes","Independent","Yes","In person on election day"
"1277",1277,50,"yes","Independent","Yes","In person early"
"1278",1278,46,"yes","Independent","Yes","In person on election day"
"1279",1279,31,"yes","Democrat","Yes","In person early"
"1280",1280,82,"yes","Independent","Yes","Voted by mail or absentee"
"1281",1281,65,"yes","Independent","Yes","In person on election day"
"1282",1282,23,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1283",1283,73,"yes","Republican","Yes","In person on election day"
"1284",1284,66,"yes","Democrat","Yes","In person on election day"
"1285",1285,79,"yes","Republican","Yes","Voted by mail or absentee"
"1286",1286,33,"yes","Democrat","Yes","In person on election day"
"1287",1287,61,"yes","Independent","Yes","Voted by mail or absentee"
"1288",1288,73,"no","Republican","Yes","Dontknow_skipped_notasked"
"1289",1289,84,"yes","Democrat","Yes","Voted by mail or absentee"
"1290",1290,75,"yes","Democrat","Yes","Voted by mail or absentee"
"1291",1291,68,"yes","Republican","Yes","In person on election day"
"1292",1292,25,"yes","Democrat","Yes","Voted by mail or absentee"
"1293",1293,67,"yes","Republican","Yes","In person on election day"
"1294",1294,59,"no","Republican","Yes","Dontknow_skipped_notasked"
"1295",1295,60,"yes","Democrat","Yes","In person early"
"1296",1296,69,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1297",1297,61,"yes","Republican","Yes","In person on election day"
"1298",1298,68,"yes","Republican","Yes","In person on election day"
"1299",1299,37,"yes","NAorMissing","DontKnow","Voted by mail or absentee"
"1300",1300,69,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1301",1301,59,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1302",1302,57,"yes","Democrat","Yes","Voted by mail or absentee"
"1303",1303,58,"yes","Republican","Yes","Voted by mail or absentee"
"1304",1304,80,"yes","Republican","Yes","In person on election day"
"1305",1305,63,"yes","Democrat","Yes","Voted by mail or absentee"
"1306",1306,47,"yes","Independent","Yes","In person on election day"
"1307",1307,54,"yes","Independent","Yes","In person on election day"
"1308",1308,67,"yes","Democrat","Yes","Voted by mail or absentee"
"1309",1309,29,"yes","Republican","Yes","In person on election day"
"1310",1310,35,"yes","Democrat","Yes","In person on election day"
"1311",1311,56,"yes","Independent","Yes","In person on election day"
"1312",1312,61,"yes","Democrat","Yes","Voted by mail or absentee"
"1313",1313,34,"yes","Democrat","Yes","In person on election day"
"1314",1314,73,"yes","Republican","Yes","Voted by mail or absentee"
"1315",1315,64,"yes","Republican","Yes","Voted by mail or absentee"
"1316",1316,52,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1317",1317,31,"yes","Democrat","Yes","In person on election day"
"1318",1318,76,"yes","Democrat","Yes","In person on election day"
"1319",1319,58,"yes","Democrat","Yes","Voted by mail or absentee"
"1320",1320,60,"yes","Democrat","Yes","In person on election day"
"1321",1321,24,"yes","Republican","Yes","Voted by mail or absentee"
"1322",1322,35,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1323",1323,65,"yes","Republican","Yes","In person early"
"1324",1324,58,"yes","Democrat","Yes","Voted by mail or absentee"
"1325",1325,65,"yes","Republican","Yes","In person early"
"1326",1326,67,"yes","Republican","Yes","In person on election day"
"1327",1327,30,"yes","Republican","Yes","Voted by mail or absentee"
"1328",1328,56,"yes","Republican","Yes","Voted by mail or absentee"
"1329",1329,57,"yes","Independent","Yes","In person on election day"
"1330",1330,57,"yes","Democrat","Yes","Voted by mail or absentee"
"1331",1331,57,"yes","Republican","Yes","Voted by mail or absentee"
"1332",1332,34,"yes","Republican","Yes","In person on election day"
"1333",1333,54,"no","Republican","Yes","Dontknow_skipped_notasked"
"1334",1334,46,"yes","Independent","Yes","In person on election day"
"1335",1335,63,"yes","Independent","Yes","In person on election day"
"1336",1336,34,"yes","Independent","Yes","Voted by mail or absentee"
"1337",1337,26,"yes","Democrat","Yes","Voted by mail or absentee"
"1338",1338,74,"yes","Republican","Yes","Voted by mail or absentee"
"1339",1339,42,"yes","Independent","Yes","In person on election day"
"1340",1340,76,"yes","Democrat","Yes","In person on election day"
"1341",1341,40,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1342",1342,46,"yes","Democrat","Yes","In person on election day"
"1343",1343,57,"yes","Republican","Yes","In person on election day"
"1344",1344,63,"yes","Independent","Yes","Voted by mail or absentee"
"1345",1345,55,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1346",1346,51,"yes","Republican","Yes","In person on election day"
"1347",1347,56,"yes","Democrat","Yes","In person early"
"1348",1348,50,"no","Republican","Yes","Dontknow_skipped_notasked"
"1349",1349,74,"yes","Democrat","Yes","In person on election day"
"1350",1350,27,"yes","Independent","Yes","Voted by mail or absentee"
"1351",1351,58,"yes","Democrat","Yes","Voted by mail or absentee"
"1352",1352,59,"yes","Republican","Yes","In person on election day"
"1353",1353,76,"yes","Republican","Yes","Voted by mail or absentee"
"1354",1354,48,"no","Independent","Yes","Dontknow_skipped_notasked"
"1355",1355,56,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1356",1356,61,"yes","Democrat","Yes","Voted by mail or absentee"
"1357",1357,74,"yes","Democrat","Yes","In person on election day"
"1358",1358,23,"yes","Independent","Yes","Voted by mail or absentee"
"1359",1359,71,"yes","Republican","Yes","Voted by mail or absentee"
"1360",1360,37,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1361",1361,84,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1362",1362,60,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1363",1363,33,"yes","Republican","Yes","In person on election day"
"1364",1364,76,"yes","Republican","Yes","In person early"
"1365",1365,62,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1366",1366,32,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1367",1367,56,"yes","Democrat","Yes","In person on election day"
"1368",1368,26,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1369",1369,25,"yes","Democrat","Yes","In person on election day"
"1370",1370,23,"yes","Democrat","Yes","In person on election day"
"1371",1371,50,"yes","Independent","Yes","In person on election day"
"1372",1372,80,"yes","Republican","Yes","Voted by mail or absentee"
"1373",1373,73,"yes","Republican","Yes","In person on election day"
"1374",1374,43,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1375",1375,59,"NAorMissing","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1376",1376,58,"no","NAorMissing","No","Dontknow_skipped_notasked"
"1377",1377,64,"yes","Democrat","Yes","In person on election day"
"1378",1378,26,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1379",1379,65,"yes","Independent","Yes","Voted by mail or absentee"
"1380",1380,53,"yes","Other","Yes","Voted by mail or absentee"
"1381",1381,43,"yes","Independent","Yes","Voted by mail or absentee"
"1382",1382,73,"yes","Democrat","Yes","In person on election day"
